uhrzeit,visitors
00:46:59,129
00:46:59,130
00:46:59,131
00:47:00,132
00:47:00,133
00:47:00,134
00:47:00,135
00:47:00,136
00:47:01,137
00:47:01,138
00:47:01,139
00:47:01,140
00:47:01,141
00:47:02,142
00:47:02,143
00:47:02,144
00:47:03,145
00:47:03,146
00:47:03,147
00:47:03,148
00:47:04,149
00:47:06,150
00:47:07,151
00:47:08,152
00:47:08,153
00:47:08,154
00:47:08,155
00:47:09,154
00:47:09,153
00:47:10,152
00:47:10,151
00:47:10,150
00:47:10,149
00:47:10,148
00:47:10,147
00:47:11,146
00:47:11,145
00:47:11,144
00:47:12,145
00:47:12,146
00:47:12,147
00:47:12,148
00:47:12,149
00:47:12,150
00:47:30,149
00:47:30,148
00:47:30,147
00:47:30,146
00:47:30,145
00:47:30,144
00:47:32,145
00:47:37,144
00:47:38,143
00:47:38,142
00:47:38,141
00:47:38,140
00:47:38,139
00:47:38,138
00:47:39,137
00:47:39,136
00:47:41,135
00:50:26,134
00:50:28,135
00:50:28,136
00:50:29,137
00:50:29,138
00:50:29,139
00:50:30,140
00:50:30,141
00:50:30,142
00:50:31,143
00:50:31,144
00:50:31,145
00:50:31,146
00:50:32,147
00:50:32,148
00:50:32,149
00:50:32,150
00:50:33,151
00:50:33,152
00:50:33,153
00:50:33,154
00:50:33,155
00:50:34,156
00:50:34,157
00:50:34,158
00:50:34,159
00:50:34,160
00:50:35,161
00:50:35,162
00:50:35,163
00:50:35,164
00:50:35,165
00:50:36,166
00:50:36,167
00:57:43,166
00:57:44,167
00:57:44,166
00:57:45,167
00:59:11,166
00:59:12,167
00:59:13,166
00:59:13,167
00:59:13,166
00:59:14,167
00:59:14,166
00:59:14,167
00:59:14,166
01:17:55,167
01:17:56,168
01:17:56,169
01:17:56,170
01:17:56,171
01:18:06,170
01:18:06,169
01:18:07,168
01:18:07,167
01:18:07,166
01:18:07,165
01:18:07,164
01:18:07,163
01:18:08,162
01:18:08,161
01:18:08,160
01:18:08,159
01:18:08,158
01:18:08,157
01:18:09,156
01:18:09,155
01:18:09,154
01:18:09,153
01:18:09,152
01:18:09,151
01:18:10,150
01:18:10,149
01:18:10,148
01:18:11,147
01:18:11,146
01:18:11,145
01:18:11,144
01:18:11,143
01:18:11,142
01:18:12,141
01:20:54,142
01:20:54,143
01:20:55,144
01:20:55,145
01:20:55,146
01:20:55,147
01:20:55,148
01:20:56,149
01:20:56,150
01:20:56,151
01:20:56,152
01:20:57,153
01:20:57,154
01:21:25,153
01:22:36,154
01:22:36,155
01:22:36,156
01:22:36,157
01:22:37,156
01:22:37,155
01:22:37,154
01:22:37,153
01:22:38,152
01:22:38,151
01:22:38,152
01:22:38,153
01:22:39,154
01:22:39,155
01:22:39,156
01:22:39,155
01:22:39,154
01:22:40,153
01:22:40,152
01:22:41,151
01:22:41,152
01:22:41,153
01:22:41,154
01:22:41,155
01:22:42,156
01:23:40,157
01:23:41,158
01:23:41,159
01:23:41,160
01:23:41,161
01:23:42,160
01:23:42,159
01:23:42,158
01:23:42,157
01:23:42,156
01:23:42,155
01:23:43,156
01:23:43,157
01:23:43,156
01:23:44,155
01:23:44,154
01:23:44,153
01:23:44,152
01:23:44,151
01:23:45,152
01:23:45,153
01:23:46,154
01:23:46,153
01:23:46,152
01:23:46,151
01:23:46,150
01:23:47,149
01:23:47,148
01:23:47,149
01:23:47,150
01:23:48,151
01:23:48,150
01:23:48,149
01:23:48,148
01:23:49,147
01:23:49,146
01:23:49,145
01:23:49,144
01:23:50,145
01:23:50,146
01:23:50,147
01:23:50,148
01:23:50,149
01:23:54,148
01:23:55,147
01:23:55,146
01:23:55,145
01:23:56,146
01:23:56,147
01:23:56,148
01:23:56,149
01:24:29,148
01:24:29,147
01:24:29,146
01:24:29,145
01:24:29,144
01:24:30,145
01:24:30,146
01:24:30,147
01:24:31,148
01:24:31,149
01:24:31,150
01:24:32,149
01:24:32,148
01:24:33,147
01:24:33,146
01:24:34,145
01:24:34,144
01:24:35,143
01:24:35,142
01:24:35,141
01:24:40,142
01:24:41,143
01:24:41,144
01:24:41,145
01:24:41,146
01:24:41,147
01:24:42,148
01:28:23,147
01:28:24,148
01:28:24,149
01:28:24,150
01:28:24,151
01:28:25,152
01:28:25,151
01:28:25,150
01:28:25,149
01:28:26,148
01:28:26,147
01:28:26,146
01:28:26,145
01:28:27,146
01:28:27,147
01:28:27,148
01:28:28,149
01:28:28,148
01:28:28,147
01:28:28,146
01:29:08,147
01:37:17,148
01:37:17,149
01:37:17,150
01:37:17,151
01:37:17,152
01:37:18,153
01:37:18,154
01:37:18,153
01:37:19,152
01:37:19,151
01:37:19,150
01:37:19,149
01:37:19,148
01:37:19,147
01:37:20,146
01:37:20,145
01:37:20,144
01:37:20,143
01:37:20,142
01:37:20,141
01:37:21,140
01:37:21,139
01:37:21,138
01:37:21,137
01:37:21,136
01:37:21,135
01:37:22,134
01:37:22,133
01:37:22,132
01:37:22,131
01:37:22,130
01:37:22,129
01:37:23,128
01:37:23,127
01:37:23,126
01:37:23,125
01:37:23,124
01:37:24,123
01:37:24,122
01:37:24,121
01:37:24,120
01:37:24,119
01:37:25,118
01:37:25,117
01:37:25,116
01:37:25,115
01:37:25,114
01:37:26,113
01:37:26,112
01:37:26,111
01:37:26,110
01:37:26,109
01:37:26,108
01:37:27,107
01:37:27,106
01:37:27,105
01:37:27,104
01:37:27,103
01:37:28,102
01:37:28,101
01:37:28,100
01:37:28,99
01:37:28,98
01:37:28,97
01:37:29,96
01:37:29,95
01:37:29,94
01:37:29,93
01:37:29,92
01:37:30,91
01:37:30,90
01:37:30,89
01:37:30,88
01:37:30,87
01:38:27,88
01:38:27,89
01:38:27,90
01:38:27,91
01:38:28,92
01:38:28,93
01:38:28,94
01:38:28,95
01:38:29,96
01:38:29,97
01:38:29,98
01:54:24,99
01:54:25,100
01:54:26,101
01:54:26,102
01:54:26,103
01:54:27,102
01:54:27,101
01:54:27,100
01:54:27,99
01:54:27,100
01:54:28,101
01:54:28,102
01:54:30,103
01:54:30,104
01:54:30,105
01:54:31,104
01:54:31,103
01:54:31,102
01:54:31,101
01:54:33,102
01:54:34,101
01:54:56,100
01:54:56,99
01:54:56,98
01:54:56,97
01:54:58,98
01:54:58,99
01:54:58,100
01:55:01,101
01:55:01,102
01:55:01,103
01:55:01,104
01:55:01,105
01:55:02,104
01:55:02,103
01:55:02,102
01:55:02,101
01:55:03,100
01:55:05,101
01:55:05,102
01:55:05,103
01:55:06,102
01:55:07,103
01:55:07,104
01:55:07,105
01:55:08,106
01:55:16,107
01:55:17,108
01:55:17,109
01:55:17,110
01:55:34,111
01:55:35,112
01:55:35,113
01:55:35,114
01:55:35,115
01:55:38,116
01:55:38,117
01:55:38,118
01:55:38,119
01:55:39,118
01:55:39,117
01:55:39,116
01:55:39,115
01:55:40,114
01:55:40,113
02:01:54,114
02:01:55,113
02:01:55,112
02:01:55,111
02:01:55,110
02:02:17,111
02:02:17,112
02:02:17,113
02:02:17,114
02:02:29,115
02:02:29,116
02:02:29,117
02:03:25,116
02:03:26,117
23:38:43,118
23:38:43,119
23:38:44,120
22:33:18,0
22:33:21,1
22:33:21,2
22:33:22,3
22:33:22,4
22:33:23,5
22:33:24,4
22:33:24,3
22:33:25,2
22:33:25,1
